# Reverse Shock Dynamics
# t_e (s) 	 t_a (s) 	 delt_a (s) 	 B_eq (G) 	 Gamma_e 	 E_syn (keV) 	 Gamma_r 	 L_diss (erg/s) 	 nu_c (Hz) 	 nu_m (Hz) 	 shell_ind

131173 	 0.931106 	 0.665477 	 61.8303 	 1500.91 	 0.728786 	 313.934 	 5.09002e+47 	 1.60115e+19 	 3.89904e+14 	 53
134337 	 0.947158 	 0.67647 	 60.5334 	 1508.84 	 0.72375 	 315.106 	 5.11331e+47 	 1.65128e+19 	 3.85771e+14 	 54
137546 	 0.96332 	 0.687574 	 59.2599 	 1515.95 	 0.717843 	 316.263 	 5.13417e+47 	 1.70365e+19 	 3.81222e+14 	 55
140802 	 0.979596 	 0.69879 	 58.0091 	 1522.22 	 0.711069 	 317.406 	 5.15252e+47 	 1.75841e+19 	 3.76265e+14 	 56
144105 	 0.995986 	 0.71012 	 56.7811 	 1527.67 	 0.703506 	 318.535 	 5.16847e+47 	 1.81563e+19 	 3.70944e+14 	 57
147454 	 1.01249 	 0.721567 	 55.5759 	 1532.34 	 0.695214 	 319.65 	 5.18211e+47 	 1.87537e+19 	 3.65293e+14 	 58
150852 	 1.02912 	 0.733132 	 54.3932 	 1536.23 	 0.686234 	 320.751 	 5.19345e+47 	 1.93777e+19 	 3.59337e+14 	 59
154297 	 1.04586 	 0.744818 	 53.2331 	 1539.38 	 0.676643 	 321.838 	 5.20263e+47 	 2.00289e+19 	 3.53117e+14 	 60
157792 	 1.06273 	 0.756626 	 52.0923 	 1541.64 	 0.666305 	 322.913 	 5.20912e+47 	 2.07117e+19 	 3.46565e+14 	 61
161336 	 1.07973 	 0.768559 	 50.9726 	 1543.12 	 0.655384 	 323.974 	 5.21329e+47 	 2.14258e+19 	 3.39768e+14 	 62
164930 	 1.09685 	 0.780619 	 49.8768 	 1544.05 	 0.644146 	 325.023 	 5.21591e+47 	 2.2168e+19 	 3.32865e+14 	 63
168574 	 1.1141 	 0.792809 	 48.8032 	 1544.35 	 0.632531 	 326.058 	 5.2167e+47 	 2.29414e+19 	 3.25825e+14 	 64
172270 	 1.13148 	 0.80513 	 47.7481 	 1543.83 	 0.620379 	 327.081 	 5.21501e+47 	 2.37521e+19 	 3.18565e+14 	 65
176018 	 1.149 	 0.817586 	 46.7154 	 1542.77 	 0.608005 	 328.092 	 5.21181e+47 	 2.45955e+19 	 3.11249e+14 	 66
179819 	 1.16665 	 0.830178 	 45.7008 	 1540.94 	 0.595192 	 329.091 	 5.20625e+47 	 2.54793e+19 	 3.03766e+14 	 67
183673 	 1.18444 	 0.84291 	 44.7091 	 1538.68 	 0.582311 	 330.077 	 5.19953e+47 	 2.63969e+19 	 2.96303e+14 	 68
187581 	 1.20238 	 0.855785 	 43.7348 	 1535.68 	 0.569079 	 331.052 	 5.19056e+47 	 2.73583e+19 	 2.88718e+14 	 69
191544 	 1.22046 	 0.868804 	 42.78 	 1532.1 	 0.555672 	 332.015 	 5.17988e+47 	 2.8362e+19 	 2.81098e+14 	 70
195563 	 1.23869 	 0.881971 	 41.8438 	 1527.93 	 0.542106 	 332.966 	 5.16745e+47 	 2.94104e+19 	 2.73452e+14 	 71
199639 	 1.25707 	 0.895289 	 40.9272 	 1523.28 	 0.528501 	 333.906 	 5.15364e+47 	 3.05027e+19 	 2.65839e+14 	 72
203771 	 1.2756 	 0.90876 	 40.0302 	 1518.2 	 0.514901 	 334.835 	 5.13858e+47 	 3.16401e+19 	 2.5828e+14 	 73
207962 	 1.29429 	 0.922389 	 39.1501 	 1512.52 	 0.501193 	 335.752 	 5.12172e+47 	 3.28302e+19 	 2.50716e+14 	 74
212212 	 1.31314 	 0.936177 	 38.2865 	 1506.25 	 0.487393 	 336.659 	 5.10305e+47 	 3.40761e+19 	 2.43157e+14 	 75
216490 	 1.33207 	 0.961586 	 38.3457 	 1572.44 	 0.530178 	 335.512 	 5.29792e+47 	 3.21495e+19 	 2.65406e+14 	 76
220731 	 1.35091 	 0.975215 	 37.5144 	 1564.56 	 0.514868 	 336.408 	 5.2747e+47 	 3.33815e+19 	 2.57055e+14 	 77
225035 	 1.36993 	 0.989019 	 36.7 	 1556.31 	 0.499707 	 337.292 	 5.25043e+47 	 3.46653e+19 	 2.48832e+14 	 78
229401 	 1.38911 	 1.003 	 35.901 	 1547.64 	 0.484648 	 338.166 	 5.22487e+47 	 3.60062e+19 	 2.4071e+14 	 79
233831 	 1.40848 	 1.01717 	 35.1158 	 1538.41 	 0.469606 	 339.03 	 5.19758e+47 	 3.7412e+19 	 2.32644e+14 	 80
238325 	 1.42803 	 1.03152 	 34.3473 	 1528.93 	 0.454828 	 339.883 	 5.16959e+47 	 3.88751e+19 	 2.24758e+14 	 81
242884 	 1.44777 	 1.04606 	 33.591 	 1518.83 	 0.440045 	 340.726 	 5.13963e+47 	 4.04131e+19 	 2.16914e+14 	 82
247510 	 1.46769 	 1.06079 	 32.852 	 1508.6 	 0.425625 	 341.559 	 5.10937e+47 	 4.20106e+19 	 2.09295e+14 	 83
252204 	 1.48781 	 1.07572 	 32.1251 	 1497.82 	 0.411266 	 342.382 	 5.07732e+47 	 4.3689e+19 	 2.01748e+14 	 84
256967 	 1.50812 	 1.09084 	 31.4148 	 1486.93 	 0.397287 	 343.195 	 5.04502e+47 	 4.54329e+19 	 1.94429e+14 	 85
261799 	 1.52864 	 1.10618 	 30.7158 	 1475.46 	 0.383371 	 343.998 	 5.01084e+47 	 4.72681e+19 	 1.87181e+14 	 86
266703 	 1.54936 	 1.12172 	 30.0334 	 1463.97 	 0.369892 	 344.792 	 4.9767e+47 	 4.91725e+19 	 1.80184e+14 	 87
271680 	 1.57029 	 1.13747 	 29.3626 	 1452.01 	 0.356557 	 345.575 	 4.94103e+47 	 5.11727e+19 	 1.73294e+14 	 88
276730 	 1.59143 	 1.15344 	 28.7047 	 1439.74 	 0.343468 	 346.35 	 4.90435e+47 	 5.32666e+19 	 1.66559e+14 	 89
281855 	 1.61279 	 1.16962 	 28.061 	 1427.33 	 0.330732 	 347.115 	 4.86727e+47 	 5.54494e+19 	 1.6003e+14 	 90
287057 	 1.63438 	 1.18604 	 27.4286 	 1414.52 	 0.318193 	 347.871 	 4.82886e+47 	 5.77418e+19 	 1.53628e+14 	 91
292147 	 1.65572 	 1.22262 	 27.764 	 1501.17 	 0.360438 	 345.652 	 5.08677e+47 	 5.23935e+19 	 1.75141e+14 	 92
297279 	 1.67719 	 1.23871 	 27.1534 	 1486.77 	 0.34653 	 346.403 	 5.04402e+47 	 5.45622e+19 	 1.68018e+14 	 93
302490 	 1.69891 	 1.25504 	 26.5537 	 1472.1 	 0.332935 	 347.145 	 5.0004e+47 	 5.68346e+19 	 1.61081e+14 	 94
307782 	 1.72086 	 1.27162 	 25.9666 	 1457.42 	 0.319785 	 347.877 	 4.95673e+47 	 5.92022e+19 	 1.54393e+14 	 95
313155 	 1.74306 	 1.28846 	 25.3889 	 1442.36 	 0.306883 	 348.601 	 4.9118e+47 	 6.16919e+19 	 1.47857e+14 	 96
318612 	 1.76552 	 1.30555 	 24.821 	 1427.01 	 0.294267 	 349.316 	 4.86583e+47 	 6.43074e+19 	 1.41488e+14 	 97
324153 	 1.78822 	 1.3229 	 24.2658 	 1411.74 	 0.28213 	 350.022 	 4.82013e+47 	 6.70297e+19 	 1.35379e+14 	 98
329782 	 1.81119 	 1.34052 	 23.7203 	 1396.24 	 0.270301 	 350.72 	 4.77361e+47 	 6.98869e+19 	 1.29445e+14 	 99
335498 	 1.83443 	 1.35841 	 23.1836 	 1380.42 	 0.25874 	 351.409 	 4.72596e+47 	 7.28943e+19 	 1.23665e+14 	 100
341305 	 1.85794 	 1.37659 	 22.6599 	 1364.8 	 0.247683 	 352.09 	 4.67897e+47 	 7.60186e+19 	 1.18152e+14 	 101
347037 	 1.88132 	 1.42024 	 23.004 	 1454.2 	 0.283395 	 349.535 	 4.94683e+47 	 6.82599e+19 	 1.36176e+14 	 102
352753 	 1.90471 	 1.43806 	 22.4953 	 1436.78 	 0.271051 	 350.212 	 4.89481e+47 	 7.11992e+19 	 1.29992e+14 	 103
358561 	 1.92839 	 1.45617 	 21.9963 	 1419.36 	 0.259146 	 350.881 	 4.84273e+47 	 7.42725e+19 	 1.24046e+14 	 104
364463 	 1.95236 	 1.47458 	 21.5051 	 1401.7 	 0.247557 	 351.542 	 4.78973e+47 	 7.75077e+19 	 1.18275e+14 	 105
370461 	 1.97663 	 1.4933 	 21.0217 	 1383.85 	 0.236308 	 352.194 	 4.73602e+47 	 8.09102e+19 	 1.12692e+14 	 106
376557 	 2.0012 	 1.51233 	 20.5492 	 1366.22 	 0.225558 	 352.839 	 4.68294e+47 	 8.44545e+19 	 1.07369e+14 	 107
382754 	 2.02609 	 1.53168 	 20.0854 	 1348.55 	 0.215191 	 353.475 	 4.62967e+47 	 8.81696e+19 	 1.0225e+14 	 108
389052 	 2.05129 	 1.55137 	 19.6287 	 1330.66 	 0.205118 	 354.104 	 4.5755e+47 	 9.20865e+19 	 9.72907e+13 	 109
395228 	 2.07626 	 1.6002 	 19.9506 	 1418.65 	 0.235165 	 351.415 	 4.84029e+47 	 8.243e+19 	 1.12396e+14 	 110
401428 	 2.10137 	 1.61953 	 19.5083 	 1399.34 	 0.224133 	 352.041 	 4.7824e+47 	 8.60726e+19 	 1.06932e+14 	 111
407733 	 2.1268 	 1.6392 	 19.0735 	 1380 	 0.213498 	 352.659 	 4.72429e+47 	 8.98965e+19 	 1.0168e+14 	 112
414144 	 2.15258 	 1.65923 	 18.6453 	 1360.53 	 0.203209 	 353.27 	 4.66557e+47 	 9.39245e+19 	 9.66124e+13 	 113
420664 	 2.1787 	 1.67962 	 18.2248 	 1341.11 	 0.193324 	 353.872 	 4.60686e+47 	 9.81505e+19 	 9.17562e+13 	 114
427296 	 2.20518 	 1.70037 	 17.8126 	 1321.84 	 0.183871 	 354.467 	 4.54854e+47 	 1.02572e+20 	 8.71231e+13 	 115
433786 	 2.23139 	 1.7534 	 18.117 	 1409.26 	 0.21091 	 351.707 	 4.81199e+47 	 9.16807e+19 	 1.0072e+14 	 116
440316 	 2.25779 	 1.77382 	 17.7165 	 1388.53 	 0.200562 	 352.299 	 4.74978e+47 	 9.57958e+19 	 9.56167e+13 	 117
446961 	 2.28456 	 1.79462 	 17.3213 	 1367.63 	 0.190545 	 352.885 	 4.6868e+47 	 1.00142e+20 	 9.06904e+13 	 118
453721 	 2.3117 	 1.81581 	 16.933 	 1346.82 	 0.180944 	 353.462 	 4.62396e+47 	 1.04704e+20 	 8.59802e+13 	 119
460599 	 2.33923 	 1.8374 	 16.5523 	 1326.27 	 0.171796 	 354.033 	 4.56179e+47 	 1.09476e+20 	 8.15017e+13 	 120
467368 	 2.36658 	 1.89402 	 16.8342 	 1412.43 	 0.196606 	 351.254 	 4.82131e+47 	 9.79398e+19 	 9.40097e+13 	 121
474149 	 2.39406 	 1.9153 	 16.4639 	 1390.47 	 0.18665 	 351.822 	 4.75543e+47 	 1.02384e+20 	 8.91052e+13 	 122
481050 	 2.42193 	 1.93699 	 16.0989 	 1368.48 	 0.177067 	 352.383 	 4.68925e+47 	 1.07068e+20 	 8.43957e+13 	 123
488074 	 2.45022 	 1.95911 	 15.7407 	 1346.75 	 0.167936 	 352.937 	 4.62371e+47 	 1.11972e+20 	 7.99177e+13 	 124
495225 	 2.47892 	 1.98167 	 15.3865 	 1324.8 	 0.159097 	 353.484 	 4.55722e+47 	 1.17171e+20 	 7.55943e+13 	 125
502211 	 2.50732 	 2.0415 	 15.6461 	 1408.81 	 0.181517 	 350.714 	 4.81028e+47 	 1.04998e+20 	 8.69282e+13 	 126
509268 	 2.53601 	 2.06377 	 15.3025 	 1385.75 	 0.172031 	 351.258 	 4.74104e+47 	 1.09822e+20 	 8.2258e+13 	 127
516453 	 2.56513 	 2.0865 	 14.9642 	 1362.81 	 0.162954 	 351.796 	 4.67198e+47 	 1.14896e+20 	 7.77985e+13 	 128
523770 	 2.59469 	 2.10969 	 14.6322 	 1340.19 	 0.154324 	 352.326 	 4.60374e+47 	 1.20209e+20 	 7.35675e+13 	 129
530873 	 2.62383 	 2.17224 	 14.8764 	 1423.13 	 0.175536 	 349.563 	 4.85299e+47 	 1.07891e+20 	 8.43407e+13 	 130
538100 	 2.65341 	 2.19518 	 14.5537 	 1399.39 	 0.166294 	 350.091 	 4.78198e+47 	 1.12835e+20 	 7.97799e+13 	 131
545462 	 2.68344 	 2.2186 	 14.2323 	 1375.14 	 0.15727 	 350.612 	 4.70898e+47 	 1.18118e+20 	 7.53382e+13 	 132
552960 	 2.71394 	 2.24251 	 13.9182 	 1351.51 	 0.148775 	 351.127 	 4.63778e+47 	 1.2362e+20 	 7.11644e+13 	 133
560340 	 2.74427 	 2.30824 	 14.1426 	 1432.94 	 0.168616 	 348.392 	 4.88216e+47 	 1.11212e+20 	 8.12883e+13 	 134
567756 	 2.77482 	 2.33193 	 13.837 	 1408.23 	 0.159566 	 348.904 	 4.80834e+47 	 1.16344e+20 	 7.68124e+13 	 135
575311 	 2.80585 	 2.35613 	 13.5339 	 1383.31 	 0.150815 	 349.41 	 4.73349e+47 	 1.21796e+20 	 7.24945e+13 	 136
582853 	 2.83698 	 2.42447 	 13.7447 	 1464.4 	 0.170317 	 346.701 	 4.97582e+47 	 1.09815e+20 	 8.25087e+13 	 137
590334 	 2.8681 	 2.44848 	 13.4497 	 1438.43 	 0.161036 	 347.204 	 4.89844e+47 	 1.14913e+20 	 7.78996e+13 	 138
597956 	 2.89971 	 2.47301 	 13.1606 	 1413.04 	 0.152277 	 347.7 	 4.82268e+47 	 1.20233e+20 	 7.35576e+13 	 139
605525 	 2.93133 	 2.54313 	 13.3578 	 1492.79 	 0.171176 	 345.037 	 5.05999e+47 	 1.08734e+20 	 8.33248e+13 	 140
613080 	 2.96307 	 2.56752 	 13.0737 	 1465.88 	 0.161783 	 345.53 	 4.98012e+47 	 1.13783e+20 	 7.86402e+13 	 141
620779 	 2.99531 	 2.59244 	 12.7951 	 1439.57 	 0.152916 	 346.017 	 4.90186e+47 	 1.19055e+20 	 7.42255e+13 	 142
628450 	 3.02763 	 2.66468 	 12.9792 	 1518.12 	 0.1712 	 343.397 	 5.13478e+47 	 1.07961e+20 	 8.37343e+13 	 143
636091 	 3.06003 	 2.6895 	 12.7073 	 1490.77 	 0.161858 	 343.881 	 5.05404e+47 	 1.12928e+20 	 7.90536e+13 	 144
643878 	 3.09296 	 2.71487 	 12.4368 	 1463.17 	 0.152813 	 344.359 	 4.97204e+47 	 1.18215e+20 	 7.45328e+13 	 145
651616 	 3.12591 	 2.78911 	 12.611 	 1540.82 	 0.170549 	 341.78 	 5.2017e+47 	 1.07428e+20 	 8.38106e+13 	 146
659352 	 3.15902 	 2.8144 	 12.3477 	 1512.42 	 0.161112 	 342.255 	 5.11798e+47 	 1.12401e+20 	 7.90634e+13 	 147
667237 	 3.19268 	 2.84028 	 12.0879 	 1484.32 	 0.152124 	 342.723 	 5.03485e+47 	 1.17633e+20 	 7.45507e+13 	 148
675014 	 3.22623 	 2.91643 	 12.2512 	 1560.44 	 0.169135 	 340.184 	 5.25926e+47 	 1.07168e+20 	 8.35055e+13 	 149
682855 	 3.26011 	 2.94226 	 11.9972 	 1531.39 	 0.159739 	 340.649 	 5.17388e+47 	 1.12123e+20 	 7.8759e+13 	 150
690459 	 3.29354 	 3.01921 	 12.1561 	 1607.43 	 0.177017 	 338.148 	 5.39671e+47 	 1.0236e+20 	 8.79236e+13 	 151
698262 	 3.32766 	 3.04501 	 11.9075 	 1577.42 	 0.16721 	 338.609 	 5.309e+47 	 1.07067e+20 	 8.29396e+13 	 152
706049 	 3.36192 	 3.12401 	 12.0543 	 1652.8 	 0.184492 	 336.16 	 5.52865e+47 	 9.8051e+19 	 9.21785e+13 	 153
713823 	 3.39631 	 3.14982 	 11.812 	 1622.17 	 0.174383 	 336.617 	 5.43977e+47 	 1.02508e+20 	 8.7009e+13 	 154
721746 	 3.43128 	 3.17625 	 11.5707 	 1591.32 	 0.164605 	 337.069 	 5.34968e+47 	 1.07248e+20 	 8.20204e+13 	 155
729678 	 3.46644 	 3.25734 	 11.7069 	 1664.98 	 0.18102 	 334.671 	 5.56405e+47 	 9.8459e+19 	 9.08458e+13 	 156
737580 	 3.50172 	 3.28381 	 11.4706 	 1633.26 	 0.1709 	 335.119 	 5.47191e+47 	 1.02989e+20 	 8.56526e+13 	 157
745461 	 3.53713 	 3.36627 	 11.6018 	 1706.74 	 0.187427 	 332.753 	 5.68466e+47 	 9.47168e+19 	 9.46037e+13 	 158
753346 	 3.57274 	 3.39281 	 11.3694 	 1673.9 	 0.176907 	 333.197 	 5.58963e+47 	 9.90767e+19 	 8.91746e+13 	 159
761385 	 3.60894 	 3.42001 	 11.1407 	 1641.73 	 0.16697 	 333.636 	 5.49633e+47 	 1.03636e+20 	 8.40547e+13 	 160
769224 	 3.64481 	 3.50375 	 11.2645 	 1713.15 	 0.182555 	 331.317 	 5.70286e+47 	 9.55217e+19 	 9.25438e+13 	 161
777170 	 3.68116 	 3.58938 	 11.3824 	 1785.54 	 0.199 	 329.028 	 5.9104e+47 	 8.82183e+19 	 1.01582e+14 	 162
785040 	 3.71751 	 3.61614 	 11.1604 	 1751.49 	 0.187997 	 329.463 	 5.81301e+47 	 9.22093e+19 	 9.58385e+13 	 163
793064 	 3.75447 	 3.64357 	 10.9416 	 1718.07 	 0.177576 	 329.894 	 5.71715e+47 	 9.63849e+19 	 9.0408e+13 	 164
800945 	 3.79126 	 3.73006 	 11.0509 	 1787.6 	 0.192849 	 327.663 	 5.91628e+47 	 8.92629e+19 	 9.88524e+13 	 165
808830 	 3.82825 	 3.81799 	 11.1558 	 1857.73 	 0.208838 	 325.458 	 6.11536e+47 	 8.28194e+19 	 1.07773e+14 	 166
816709 	 3.86544 	 3.84508 	 10.942 	 1822.2 	 0.197334 	 325.885 	 6.01458e+47 	 8.65366e+19 	 1.01703e+14 	 167
824740 	 3.90325 	 3.87285 	 10.7306 	 1787.08 	 0.186375 	 326.307 	 5.9146e+47 	 9.04427e+19 	 9.59307e+13 	 168
832674 	 3.94102 	 3.96216 	 10.8281 	 1854.91 	 0.201282 	 324.157 	 6.10729e+47 	 8.40966e+19 	 1.04291e+14 	 169
840719 	 3.9793 	 3.99015 	 10.6216 	 1819.47 	 0.190214 	 324.575 	 6.00692e+47 	 8.78534e+19 	 9.84292e+13 	 170
848679 	 4.01757 	 4.08121 	 10.7144 	 1886.65 	 0.204956 	 322.449 	 6.1969e+47 	 8.1812e+19 	 1.06757e+14 	 171
856667 	 4.05613 	 4.17352 	 10.8037 	 1954.52 	 0.220363 	 320.36 	 6.3876e+47 	 7.63088e+19 	 1.15531e+14 	 172
864596 	 4.09476 	 4.20129 	 10.6014 	 1916.98 	 0.208277 	 320.774 	 6.28231e+47 	 7.96986e+19 	 1.09054e+14 	 173
872575 	 4.13375 	 4.29451 	 10.6843 	 1983.2 	 0.223233 	 318.734 	 6.46771e+47 	 7.4513e+19 	 1.17632e+14 	 174
880530 	 4.1729 	 4.32257 	 10.4849 	 1944.85 	 0.210947 	 319.143 	 6.36041e+47 	 7.78254e+19 	 1.11016e+14 	 175
888423 	 4.21211 	 4.41666 	 10.5645 	 2010.04 	 0.225608 	 317.137 	 6.54228e+47 	 7.28729e+19 	 1.19482e+14 	 176
896409 	 4.25181 	 4.44502 	 10.3689 	 1971.28 	 0.213246 	 317.541 	 6.43424e+47 	 7.6094e+19 	 1.12792e+14 	 177
