# Thermal Dynamics
# t_e (s) 	 t_a (s) 	 delt_a (s) 	 T_phot (K) 	 L_phot (erg/s) 	 R_phot (cm/c) 	 shell_index

24.7969 	 0.250111 	 0.00011157 	 3.18273e+07 	 1.76378e+47 	 24.5467 	 25
24.0566 	 0.260105 	 0.000105945 	 3.27177e+07 	 1.81312e+47 	 23.7965 	 26
23.3611 	 0.270102 	 0.000100762 	 3.36048e+07 	 1.86228e+47 	 23.091 	 27
22.7069 	 0.280096 	 9.5978e-05 	 3.4488e+07 	 1.91122e+47 	 22.4268 	 28
22.091 	 0.290092 	 9.15555e-05 	 3.53667e+07 	 1.95992e+47 	 21.801 	 29
21.5107 	 0.300087 	 8.74607e-05 	 3.62403e+07 	 2.00834e+47 	 21.2106 	 30
20.9633 	 0.310083 	 8.36638e-05 	 3.71084e+07 	 2.05644e+47 	 20.6532 	 31
20.4466 	 0.32008 	 8.0138e-05 	 3.79704e+07 	 2.10421e+47 	 20.1265 	 32
19.9584 	 0.330076 	 7.68594e-05 	 3.88258e+07 	 2.15162e+47 	 19.6283 	 33
19.4969 	 0.340075 	 7.38067e-05 	 3.96742e+07 	 2.19863e+47 	 19.1568 	 34
19.0601 	 0.350071 	 7.09607e-05 	 4.0515e+07 	 2.24523e+47 	 18.7101 	 35
18.6466 	 0.360067 	 6.8304e-05 	 4.1348e+07 	 2.29139e+47 	 18.2866 	 36
18.2549 	 0.370066 	 6.58211e-05 	 4.21727e+07 	 2.33709e+47 	 17.8848 	 37
17.8834 	 0.380064 	 6.3498e-05 	 4.29886e+07 	 2.38231e+47 	 17.5033 	 38
17.531 	 0.39006 	 6.1322e-05 	 4.37956e+07 	 2.42703e+47 	 17.141 	 39
17.1965 	 0.400059 	 5.92817e-05 	 4.45931e+07 	 2.47122e+47 	 16.7964 	 40
16.8788 	 0.410057 	 5.73666e-05 	 4.5381e+07 	 2.51489e+47 	 16.4687 	 41
16.5769 	 0.420055 	 5.55673e-05 	 4.61589e+07 	 2.55799e+47 	 16.1568 	 42
16.2899 	 0.430054 	 5.38752e-05 	 4.69265e+07 	 2.60053e+47 	 15.8598 	 43
16.0169 	 0.440052 	 5.22824e-05 	 4.76836e+07 	 2.64249e+47 	 15.5768 	 44
15.757 	 0.45005 	 5.07819e-05 	 4.843e+07 	 2.68385e+47 	 15.307 	 45
15.5097 	 0.46005 	 4.9367e-05 	 4.91654e+07 	 2.72461e+47 	 15.0497 	 46
15.2742 	 0.470048 	 4.80319e-05 	 4.98896e+07 	 2.76474e+47 	 14.8041 	 47
15.0498 	 0.480047 	 4.6771e-05 	 5.06024e+07 	 2.80424e+47 	 14.5697 	 48
14.8359 	 0.490046 	 4.55795e-05 	 5.13037e+07 	 2.84311e+47 	 14.3459 	 49
14.632 	 0.500045 	 4.44525e-05 	 5.19933e+07 	 2.88132e+47 	 14.132 	 50
14.4376 	 0.510043 	 4.33861e-05 	 5.26711e+07 	 2.91888e+47 	 13.9276 	 51
14.2522 	 0.520042 	 4.23762e-05 	 5.33368e+07 	 2.95578e+47 	 13.7321 	 52
14.0753 	 0.530042 	 4.14193e-05 	 5.39905e+07 	 2.992e+47 	 13.5452 	 53
13.9065 	 0.54004 	 4.0512e-05 	 5.4632e+07 	 3.02755e+47 	 13.3664 	 54
13.7454 	 0.550039 	 3.96514e-05 	 5.52613e+07 	 3.06242e+47 	 13.1953 	 55
13.5916 	 0.560039 	 3.88346e-05 	 5.58782e+07 	 3.09661e+47 	 13.0316 	 56
13.4448 	 0.570038 	 3.8059e-05 	 5.64826e+07 	 3.13011e+47 	 12.8748 	 57
13.3047 	 0.580037 	 3.73222e-05 	 5.70746e+07 	 3.16291e+47 	 12.7246 	 58
13.1709 	 0.590036 	 3.6622e-05 	 5.76541e+07 	 3.19503e+47 	 12.5808 	 59
13.0431 	 0.600036 	 3.59562e-05 	 5.8221e+07 	 3.22644e+47 	 12.4431 	 60
12.9212 	 0.610035 	 3.53229e-05 	 5.87754e+07 	 3.25716e+47 	 12.3112 	 61
12.8048 	 0.620035 	 3.47204e-05 	 5.93171e+07 	 3.28719e+47 	 12.1847 	 62
12.6936 	 0.630034 	 3.4147e-05 	 5.98463e+07 	 3.31651e+47 	 12.0636 	 63
12.5875 	 0.640034 	 3.36011e-05 	 6.03629e+07 	 3.34514e+47 	 11.9475 	 64
12.4863 	 0.650033 	 3.30813e-05 	 6.0867e+07 	 3.37307e+47 	 11.8363 	 65
12.3897 	 0.660032 	 3.25862e-05 	 6.13585e+07 	 3.40031e+47 	 11.7296 	 66
12.2975 	 0.670033 	 3.21145e-05 	 6.18374e+07 	 3.42685e+47 	 11.6275 	 67
12.2096 	 0.680032 	 3.16652e-05 	 6.23039e+07 	 3.45271e+47 	 11.5296 	 68
12.1258 	 0.690031 	 3.1237e-05 	 6.27579e+07 	 3.47787e+47 	 11.4358 	 69
12.046 	 0.700031 	 3.0829e-05 	 6.31996e+07 	 3.50234e+47 	 11.3459 	 70
11.9699 	 0.710031 	 3.04401e-05 	 6.36289e+07 	 3.52613e+47 	 11.2599 	 71
11.8974 	 0.72003 	 3.00696e-05 	 6.40459e+07 	 3.54924e+47 	 11.1774 	 72
11.8285 	 0.73003 	 2.97164e-05 	 6.44507e+07 	 3.57167e+47 	 11.0985 	 73
11.7629 	 0.740029 	 2.93799e-05 	 6.48433e+07 	 3.59343e+47 	 11.0229 	 74
11.7006 	 0.750029 	 2.90593e-05 	 6.52239e+07 	 3.61453e+47 	 10.9505 	 75
11.6414 	 0.760029 	 2.87539e-05 	 6.55925e+07 	 3.63495e+47 	 10.8813 	 76
11.5852 	 0.770028 	 2.84629e-05 	 6.59492e+07 	 3.65472e+47 	 10.8152 	 77
11.5319 	 0.780028 	 2.81859e-05 	 6.62941e+07 	 3.67383e+47 	 10.7519 	 78
11.4814 	 0.790028 	 2.79222e-05 	 6.66273e+07 	 3.6923e+47 	 10.6914 	 79
11.4337 	 0.800028 	 2.76713e-05 	 6.69489e+07 	 3.71011e+47 	 10.6337 	 80
11.3886 	 0.810027 	 2.74326e-05 	 6.72589e+07 	 3.7273e+47 	 10.5785 	 81
11.346 	 0.820027 	 2.72057e-05 	 6.75575e+07 	 3.74384e+47 	 10.5259 	 82
11.3058 	 0.830027 	 2.69901e-05 	 6.78448e+07 	 3.75976e+47 	 10.4758 	 83
11.2681 	 0.840027 	 2.67854e-05 	 6.81208e+07 	 3.77506e+47 	 10.4281 	 84
11.2326 	 0.850026 	 2.65911e-05 	 6.83858e+07 	 3.78975e+47 	 10.3826 	 85
11.1994 	 0.860026 	 2.64069e-05 	 6.86399e+07 	 3.80383e+47 	 10.3394 	 86
11.1684 	 0.870027 	 2.62324e-05 	 6.8883e+07 	 3.8173e+47 	 10.2984 	 87
11.1394 	 0.880026 	 2.60672e-05 	 6.91154e+07 	 3.83018e+47 	 10.2594 	 88
11.1125 	 0.890026 	 2.59111e-05 	 6.93372e+07 	 3.84247e+47 	 10.2225 	 89
11.0876 	 0.900025 	 2.57637e-05 	 6.95485e+07 	 3.85418e+47 	 10.1876 	 90
11.0646 	 0.910026 	 2.56248e-05 	 6.97494e+07 	 3.86531e+47 	 10.1546 	 91
11.0434 	 0.920026 	 2.5494e-05 	 6.994e+07 	 3.87588e+47 	 10.1234 	 92
11.0241 	 0.930025 	 2.5371e-05 	 7.01205e+07 	 3.88588e+47 	 10.0941 	 93
11.0066 	 0.940025 	 2.52558e-05 	 7.02911e+07 	 3.89533e+47 	 10.0666 	 94
10.9908 	 0.950026 	 2.51479e-05 	 7.04517e+07 	 3.90423e+47 	 10.0407 	 95
10.9766 	 0.960025 	 2.50472e-05 	 7.06026e+07 	 3.91259e+47 	 10.0166 	 96
10.9641 	 0.970025 	 2.49535e-05 	 7.07439e+07 	 3.92042e+47 	 9.9941 	 97
10.9532 	 0.980025 	 2.48666e-05 	 7.08757e+07 	 3.92773e+47 	 9.9732 	 98
10.9439 	 0.990025 	 2.47862e-05 	 7.09981e+07 	 3.93451e+47 	 9.95385 	 99
10.9361 	 1.00002 	 2.47123e-05 	 7.11113e+07 	 3.94079e+47 	 9.93603 	 100
10.9297 	 1.01003 	 2.46446e-05 	 7.12154e+07 	 3.94656e+47 	 9.91969 	 101
10.9248 	 1.02002 	 2.4583e-05 	 7.13106e+07 	 3.95183e+47 	 9.9048 	 102
10.9213 	 1.03002 	 2.45273e-05 	 7.13969e+07 	 3.95661e+47 	 9.89132 	 103
10.9193 	 1.04002 	 2.44774e-05 	 7.14745e+07 	 3.96091e+47 	 9.87924 	 104
10.9185 	 1.05002 	 2.44331e-05 	 7.15436e+07 	 3.96474e+47 	 9.86851 	 105
10.9191 	 1.06002 	 2.43943e-05 	 7.16042e+07 	 3.9681e+47 	 9.85911 	 106
10.921 	 1.07002 	 2.43609e-05 	 7.16565e+07 	 3.971e+47 	 9.85102 	 107
10.9242 	 1.08002 	 2.43328e-05 	 7.17007e+07 	 3.97345e+47 	 9.84419 	 108
10.9286 	 1.09002 	 2.43098e-05 	 7.17368e+07 	 3.97545e+47 	 9.83862 	 109
10.9343 	 1.10002 	 2.42919e-05 	 7.1765e+07 	 3.97701e+47 	 9.83427 	 110
10.9411 	 1.11002 	 2.4279e-05 	 7.17854e+07 	 3.97814e+47 	 9.83112 	 111
10.9492 	 1.12002 	 2.42709e-05 	 7.17981e+07 	 3.97885e+47 	 9.82916 	 112
10.9584 	 1.13002 	 2.42676e-05 	 7.18034e+07 	 3.97914e+47 	 9.82835 	 113
10.9687 	 1.14002 	 2.42689e-05 	 7.18012e+07 	 3.97902e+47 	 9.82869 	 114
10.9802 	 1.15002 	 2.42749e-05 	 7.17918e+07 	 3.9785e+47 	 9.83014 	 115
10.9927 	 1.16002 	 2.42854e-05 	 7.17752e+07 	 3.97758e+47 	 9.83269 	 116
11.0064 	 1.17002 	 2.43004e-05 	 7.17516e+07 	 3.97627e+47 	 9.83633 	 117
11.0211 	 1.18002 	 2.43198e-05 	 7.17211e+07 	 3.97458e+47 	 9.84103 	 118
11.0368 	 1.19002 	 2.43435e-05 	 7.16839e+07 	 3.97252e+47 	 9.84679 	 119
11.0536 	 1.20002 	 2.43714e-05 	 7.164e+07 	 3.97009e+47 	 9.85357 	 120
11.0714 	 1.21002 	 2.44036e-05 	 7.15896e+07 	 3.96729e+47 	 9.86138 	 121
11.0902 	 1.22002 	 2.444e-05 	 7.15328e+07 	 3.96414e+47 	 9.87019 	 122
11.11 	 1.23002 	 2.44805e-05 	 7.14697e+07 	 3.96065e+47 	 9.87999 	 123
11.1308 	 1.24002 	 2.4525e-05 	 7.14005e+07 	 3.95681e+47 	 9.89077 	 124
11.1525 	 1.25002 	 2.45735e-05 	 7.13252e+07 	 3.95264e+47 	 9.90252 	 125
11.1752 	 1.26003 	 2.46261e-05 	 7.1244e+07 	 3.94814e+47 	 9.91522 	 126
11.1989 	 1.27002 	 2.46826e-05 	 7.1157e+07 	 3.94332e+47 	 9.92886 	 127
11.2235 	 1.28002 	 2.4743e-05 	 7.10642e+07 	 3.93818e+47 	 9.94343 	 128
11.2489 	 1.29002 	 2.48073e-05 	 7.0966e+07 	 3.93273e+47 	 9.95892 	 129
11.2754 	 1.30002 	 2.48754e-05 	 7.08622e+07 	 3.92698e+47 	 9.97533 	 130
11.3027 	 1.31003 	 2.49474e-05 	 7.07531e+07 	 3.92094e+47 	 9.99263 	 131
11.3309 	 1.32002 	 2.50231e-05 	 7.06388e+07 	 3.9146e+47 	 10.0108 	 132
11.3599 	 1.33002 	 2.51027e-05 	 7.05193e+07 	 3.90798e+47 	 10.0299 	 133
11.3899 	 1.34002 	 2.5186e-05 	 7.03949e+07 	 3.90108e+47 	 10.0499 	 134
11.4207 	 1.35003 	 2.5273e-05 	 7.02655e+07 	 3.89391e+47 	 10.0707 	 135
11.4524 	 1.36003 	 2.53638e-05 	 7.01313e+07 	 3.88648e+47 	 10.0924 	 136
11.4849 	 1.37003 	 2.54582e-05 	 6.99924e+07 	 3.87878e+47 	 10.1149 	 137
11.5183 	 1.38003 	 2.55564e-05 	 6.98489e+07 	 3.87083e+47 	 10.1383 	 138
11.5525 	 1.39003 	 2.56582e-05 	 6.97009e+07 	 3.86262e+47 	 10.1625 	 139
11.5876 	 1.40003 	 2.57637e-05 	 6.95485e+07 	 3.85418e+47 	 10.1876 	 140
11.6235 	 1.41003 	 2.58729e-05 	 6.93918e+07 	 3.8455e+47 	 10.2134 	 141
11.6602 	 1.42003 	 2.59858e-05 	 6.92309e+07 	 3.83658e+47 	 10.2401 	 142
11.6977 	 1.43003 	 2.61023e-05 	 6.9066e+07 	 3.82744e+47 	 10.2677 	 143
11.736 	 1.44003 	 2.62224e-05 	 6.8897e+07 	 3.81807e+47 	 10.296 	 144
11.7752 	 1.45003 	 2.63462e-05 	 6.87241e+07 	 3.80849e+47 	 10.3251 	 145
11.8151 	 1.46003 	 2.64737e-05 	 6.85474e+07 	 3.7987e+47 	 10.3551 	 146
11.8559 	 1.47003 	 2.66048e-05 	 6.8367e+07 	 3.78871e+47 	 10.3858 	 147
11.8974 	 1.48003 	 2.67396e-05 	 6.8183e+07 	 3.77851e+47 	 10.4174 	 148
11.9397 	 1.49003 	 2.68781e-05 	 6.79954e+07 	 3.76811e+47 	 10.4497 	 149
11.9829 	 1.50003 	 2.70203e-05 	 6.78044e+07 	 3.75753e+47 	 10.4828 	 150
12.0268 	 1.51003 	 2.71661e-05 	 6.761e+07 	 3.74676e+47 	 10.5167 	 151
12.0715 	 1.52003 	 2.73156e-05 	 6.74124e+07 	 3.7358e+47 	 10.5514 	 152
12.1169 	 1.53003 	 2.74688e-05 	 6.72116e+07 	 3.72467e+47 	 10.5869 	 153
12.1632 	 1.54003 	 2.76258e-05 	 6.70077e+07 	 3.71337e+47 	 10.6232 	 154
12.2102 	 1.55003 	 2.77865e-05 	 6.68007e+07 	 3.70191e+47 	 10.6602 	 155
12.258 	 1.56003 	 2.79509e-05 	 6.65909e+07 	 3.69028e+47 	 10.698 	 156
12.3066 	 1.57003 	 2.81191e-05 	 6.63781e+07 	 3.67849e+47 	 10.7366 	 157
12.356 	 1.58003 	 2.82911e-05 	 6.61626e+07 	 3.66654e+47 	 10.7759 	 158
12.4061 	 1.59003 	 2.84668e-05 	 6.59444e+07 	 3.65445e+47 	 10.816 	 159
12.457 	 1.60003 	 2.86464e-05 	 6.57236e+07 	 3.64222e+47 	 10.8569 	 160
12.5086 	 1.61003 	 2.88298e-05 	 6.55003e+07 	 3.62984e+47 	 10.8986 	 161
12.561 	 1.62003 	 2.90171e-05 	 6.52744e+07 	 3.61732e+47 	 10.941 	 162
12.6142 	 1.63003 	 2.92083e-05 	 6.50462e+07 	 3.60468e+47 	 10.9842 	 163
12.6682 	 1.64003 	 2.94034e-05 	 6.48157e+07 	 3.5919e+47 	 11.0282 	 164
12.7229 	 1.65003 	 2.96024e-05 	 6.45829e+07 	 3.579e+47 	 11.0729 	 165
12.7784 	 1.66003 	 2.98054e-05 	 6.4348e+07 	 3.56598e+47 	 11.1184 	 166
12.8347 	 1.67003 	 3.00124e-05 	 6.41109e+07 	 3.55284e+47 	 11.1647 	 167
12.8917 	 1.68003 	 3.02234e-05 	 6.38718e+07 	 3.53959e+47 	 11.2117 	 168
12.9495 	 1.69003 	 3.04385e-05 	 6.36307e+07 	 3.52623e+47 	 11.2595 	 169
13.0081 	 1.70003 	 3.06576e-05 	 6.33877e+07 	 3.51277e+47 	 11.3081 	 170
13.0674 	 1.71003 	 3.08809e-05 	 6.31429e+07 	 3.4992e+47 	 11.3574 	 171
13.1275 	 1.72003 	 3.11083e-05 	 6.28963e+07 	 3.48554e+47 	 11.4075 	 172
13.1884 	 1.73003 	 3.13399e-05 	 6.2648e+07 	 3.47177e+47 	 11.4584 	 173
13.2501 	 1.74003 	 3.15757e-05 	 6.23981e+07 	 3.45792e+47 	 11.51 	 174
13.3125 	 1.75003 	 3.18157e-05 	 6.21465e+07 	 3.44398e+47 	 11.5625 	 175
13.3757 	 1.76003 	 3.20601e-05 	 6.18934e+07 	 3.42996e+47 	 11.6157 	 176
13.4397 	 1.77003 	 3.23088e-05 	 6.16389e+07 	 3.41585e+47 	 11.6696 	 177
13.5044 	 1.78003 	 3.25618e-05 	 6.13829e+07 	 3.40167e+47 	 11.7244 	 178
13.57 	 1.79003 	 3.28193e-05 	 6.11256e+07 	 3.38741e+47 	 11.7799 	 179
13.6363 	 1.80003 	 3.30813e-05 	 6.0867e+07 	 3.37307e+47 	 11.8363 	 180
13.7034 	 1.81003 	 3.33477e-05 	 6.06071e+07 	 3.35867e+47 	 11.8934 	 181
13.7713 	 1.82003 	 3.36187e-05 	 6.03461e+07 	 3.34421e+47 	 11.9513 	 182
13.84 	 1.83003 	 3.38943e-05 	 6.00839e+07 	 3.32968e+47 	 12.0099 	 183
13.9095 	 1.84003 	 3.41746e-05 	 5.98206e+07 	 3.31509e+47 	 12.0694 	 184
13.9797 	 1.85003 	 3.44595e-05 	 5.95563e+07 	 3.30044e+47 	 12.1297 	 185
14.0508 	 1.86003 	 3.47491e-05 	 5.9291e+07 	 3.28574e+47 	 12.1908 	 186
14.1227 	 1.87004 	 3.50436e-05 	 5.90248e+07 	 3.27099e+47 	 12.2527 	 187
14.1954 	 1.88004 	 3.53429e-05 	 5.87577e+07 	 3.25618e+47 	 12.3153 	 188
14.2689 	 1.89004 	 3.56471e-05 	 5.84897e+07 	 3.24134e+47 	 12.3788 	 189
14.3431 	 1.90004 	 3.59562e-05 	 5.8221e+07 	 3.22644e+47 	 12.4431 	 190
14.4183 	 1.91004 	 3.62703e-05 	 5.79515e+07 	 3.21151e+47 	 12.5082 	 191
14.4942 	 1.92004 	 3.65895e-05 	 5.76814e+07 	 3.19654e+47 	 12.5742 	 192
14.5709 	 1.93004 	 3.69138e-05 	 5.74105e+07 	 3.18153e+47 	 12.6409 	 193
14.6485 	 1.94004 	 3.72433e-05 	 5.71391e+07 	 3.16649e+47 	 12.7085 	 194
14.7269 	 1.95004 	 3.7578e-05 	 5.68671e+07 	 3.15141e+47 	 12.7769 	 195
14.8062 	 1.96004 	 3.7918e-05 	 5.65946e+07 	 3.13631e+47 	 12.8461 	 196
14.8862 	 1.97004 	 3.82634e-05 	 5.63215e+07 	 3.12118e+47 	 12.9162 	 197
14.9672 	 1.98004 	 3.86142e-05 	 5.60481e+07 	 3.10603e+47 	 12.9871 	 198
15.0489 	 1.99004 	 3.89704e-05 	 5.57742e+07 	 3.09085e+47 	 13.0589 	 199
15.1315 	 2.00004 	 3.93322e-05 	 5.55e+07 	 3.07565e+47 	 13.1315 	 200
15.215 	 2.01004 	 3.96997e-05 	 5.52254e+07 	 3.06044e+47 	 13.205 	 201
15.2993 	 2.02004 	 4.00728e-05 	 5.49506e+07 	 3.04521e+47 	 13.2793 	 202
15.3845 	 2.03004 	 4.04517e-05 	 5.46755e+07 	 3.02996e+47 	 13.3545 	 203
15.4706 	 2.04004 	 4.08364e-05 	 5.44002e+07 	 3.0147e+47 	 13.4305 	 204
15.5575 	 2.05004 	 4.1227e-05 	 5.41247e+07 	 2.99944e+47 	 13.5075 	 205
15.6453 	 2.06004 	 4.16236e-05 	 5.3849e+07 	 2.98416e+47 	 13.5853 	 206
15.734 	 2.07004 	 4.20262e-05 	 5.35733e+07 	 2.96888e+47 	 13.664 	 207
15.8236 	 2.08004 	 4.2435e-05 	 5.32974e+07 	 2.95359e+47 	 13.7436 	 208
15.9141 	 2.09004 	 4.28499e-05 	 5.30215e+07 	 2.9383e+47 	 13.824 	 209
16.0055 	 2.10004 	 4.32712e-05 	 5.27456e+07 	 2.92301e+47 	 13.9054 	 210
16.0977 	 2.11004 	 4.36988e-05 	 5.24697e+07 	 2.90772e+47 	 13.9877 	 211
16.1909 	 2.12004 	 4.41328e-05 	 5.21939e+07 	 2.89244e+47 	 14.0709 	 212
16.2851 	 2.13004 	 4.45734e-05 	 5.19181e+07 	 2.87715e+47 	 14.155 	 213
16.3801 	 2.14005 	 4.50205e-05 	 5.16424e+07 	 2.86188e+47 	 14.24 	 214
16.476 	 2.15004 	 4.54744e-05 	 5.13669e+07 	 2.84661e+47 	 14.326 	 215
16.5729 	 2.16005 	 4.59351e-05 	 5.10915e+07 	 2.83135e+47 	 14.4129 	 216
16.6708 	 2.17005 	 4.64026e-05 	 5.08163e+07 	 2.8161e+47 	 14.5007 	 217
16.7696 	 2.18005 	 4.68771e-05 	 5.05413e+07 	 2.80086e+47 	 14.5895 	 218
16.8693 	 2.19005 	 4.73586e-05 	 5.02666e+07 	 2.78563e+47 	 14.6793 	 219
16.97 	 2.20005 	 4.78473e-05 	 4.99921e+07 	 2.77042e+47 	 14.77 	 220
17.0717 	 2.21005 	 4.83433e-05 	 4.97179e+07 	 2.75523e+47 	 14.8616 	 221
17.1743 	 2.22005 	 4.88466e-05 	 4.94441e+07 	 2.74005e+47 	 14.9543 	 222
17.2779 	 2.23005 	 4.93573e-05 	 4.91705e+07 	 2.72489e+47 	 15.0479 	 223
17.3825 	 2.24005 	 4.98756e-05 	 4.88974e+07 	 2.70975e+47 	 15.1425 	 224
17.4882 	 2.25005 	 5.04015e-05 	 4.86246e+07 	 2.69464e+47 	 15.2381 	 225
17.5948 	 2.26005 	 5.09351e-05 	 4.83522e+07 	 2.67954e+47 	 15.3347 	 226
17.7024 	 2.27005 	 5.14766e-05 	 4.80803e+07 	 2.66447e+47 	 15.4323 	 227
17.811 	 2.28005 	 5.20261e-05 	 4.78088e+07 	 2.64943e+47 	 15.5309 	 228
17.9206 	 2.29005 	 5.25836e-05 	 4.75378e+07 	 2.63441e+47 	 15.6306 	 229
18.0313 	 2.30005 	 5.31493e-05 	 4.72672e+07 	 2.61942e+47 	 15.7313 	 230
18.143 	 2.31005 	 5.37233e-05 	 4.69972e+07 	 2.60445e+47 	 15.833 	 231
18.2558 	 2.32006 	 5.43057e-05 	 4.67277e+07 	 2.58952e+47 	 15.9357 	 232
18.3696 	 2.33006 	 5.48966e-05 	 4.64588e+07 	 2.57461e+47 	 16.0396 	 233
18.4845 	 2.34006 	 5.54962e-05 	 4.61904e+07 	 2.55974e+47 	 16.1444 	 234
18.6004 	 2.35006 	 5.61045e-05 	 4.59226e+07 	 2.5449e+47 	 16.2504 	 235
18.7175 	 2.36006 	 5.67217e-05 	 4.56555e+07 	 2.5301e+47 	 16.3574 	 236
18.8356 	 2.37006 	 5.73479e-05 	 4.53889e+07 	 2.51532e+47 	 16.4655 	 237
18.9548 	 2.38006 	 5.79832e-05 	 4.5123e+07 	 2.50059e+47 	 16.5747 	 238
19.0751 	 2.39006 	 5.86278e-05 	 4.48577e+07 	 2.48589e+47 	 16.685 	 239
19.1965 	 2.40006 	 5.92817e-05 	 4.45931e+07 	 2.47122e+47 	 16.7964 	 240
19.319 	 2.41006 	 5.99452e-05 	 4.43292e+07 	 2.4566e+47 	 16.909 	 241
19.4427 	 2.42006 	 6.06183e-05 	 4.4066e+07 	 2.44201e+47 	 17.0226 	 242
19.5675 	 2.43006 	 6.13012e-05 	 4.38035e+07 	 2.42747e+47 	 17.1375 	 243
19.6935 	 2.44006 	 6.1994e-05 	 4.35417e+07 	 2.41296e+47 	 17.2534 	 244
19.8206 	 2.45006 	 6.26969e-05 	 4.32807e+07 	 2.39849e+47 	 17.3705 	 245
19.9488 	 2.46006 	 6.341e-05 	 4.30204e+07 	 2.38407e+47 	 17.4888 	 246
20.0783 	 2.47006 	 6.41334e-05 	 4.2761e+07 	 2.36969e+47 	 17.6082 	 247
20.2089 	 2.48006 	 6.48673e-05 	 4.25022e+07 	 2.35535e+47 	 17.7289 	 248
20.3407 	 2.49007 	 6.56119e-05 	 4.22443e+07 	 2.34106e+47 	 17.8507 	 249
20.4738 	 2.50007 	 6.63673e-05 	 4.19872e+07 	 2.32681e+47 	 17.9737 	 250
20.608 	 2.51007 	 6.71336e-05 	 4.17309e+07 	 2.31261e+47 	 18.0979 	 251
20.7435 	 2.52007 	 6.7911e-05 	 4.14754e+07 	 2.29845e+47 	 18.2234 	 252
20.8801 	 2.53007 	 6.86997e-05 	 4.12208e+07 	 2.28434e+47 	 18.3501 	 253
21.0181 	 2.54007 	 6.94998e-05 	 4.0967e+07 	 2.27028e+47 	 18.478 	 254
21.1573 	 2.55007 	 7.03115e-05 	 4.07141e+07 	 2.25626e+47 	 18.6072 	 255
21.2977 	 2.56007 	 7.1135e-05 	 4.0462e+07 	 2.24229e+47 	 18.7376 	 256
21.4394 	 2.57007 	 7.19704e-05 	 4.02109e+07 	 2.22837e+47 	 18.8694 	 257
21.5824 	 2.58007 	 7.28179e-05 	 3.99606e+07 	 2.2145e+47 	 19.0024 	 258
21.7267 	 2.59007 	 7.36776e-05 	 3.97112e+07 	 2.20068e+47 	 19.1367 	 259
21.8723 	 2.60007 	 7.45498e-05 	 3.94628e+07 	 2.18691e+47 	 19.2723 	 260
22.0193 	 2.61007 	 7.54347e-05 	 3.92152e+07 	 2.1732e+47 	 19.4092 	 261
22.1675 	 2.62008 	 7.63323e-05 	 3.89686e+07 	 2.15953e+47 	 19.5474 	 262
